nodenumber,    x-coordinate,    y-coordinate,    x-coordinate,    y-coordinate,  turb-diss-rate,turb-kinetic-energy,      x-velocity,      y-velocity,        pressure
        34, 7.512285652E-02, 0.000000000E+00, 7.512285652E-02, 0.000000000E+00, 1.083973239E-07, 5.137693470E-11, 0.000000000E+00, 0.000000000E+00, 4.634422766E-02
        35, 7.575953226E-02, 0.000000000E+00, 7.575953226E-02, 0.000000000E+00, 1.157177844E-07, 5.484083911E-11, 0.000000000E+00, 0.000000000E+00, 4.746691749E-02
        36, 7.639620574E-02, 0.000000000E+00, 7.639620574E-02, 0.000000000E+00, 1.278098056E-07, 6.056461646E-11, 0.000000000E+00, 0.000000000E+00, 4.870325210E-02
        37, 7.703287763E-02, 0.000000000E+00, 7.703287763E-02, 0.000000000E+00, 1.361098376E-07, 6.449182757E-11, 0.000000000E+00, 0.000000000E+00, 5.000513585E-02
        38, 7.766954838E-02, 0.000000000E+00, 7.766954838E-02, 0.000000000E+00, 1.439385552E-07, 6.819526329E-11, 0.000000000E+00, 0.000000000E+00, 5.135346917E-02
        39, 7.830621833E-02, 0.000000000E+00, 7.830621833E-02, 0.000000000E+00, 1.496140773E-07, 7.087801536E-11, 0.000000000E+00, 0.000000000E+00, 5.273856232E-02
        40, 7.894288773E-02, 0.000000000E+00, 7.894288773E-02, 0.000000000E+00, 1.562630955E-07, 7.402204442E-11, 0.000000000E+00, 0.000000000E+00, 5.419825316E-02
        41, 7.957955673E-02, 0.000000000E+00, 7.957955673E-02, 0.000000000E+00, 1.699941753E-07, 8.052072278E-11, 0.000000000E+00, 0.000000000E+00, 5.578554568E-02
        42, 8.021622546E-02, 0.000000000E+00, 8.021622546E-02, 0.000000000E+00, 1.821821284E-07, 8.628801733E-11, 0.000000000E+00, 0.000000000E+00, 5.728337355E-02
        43, 8.085289401E-02, 0.000000000E+00, 8.085289401E-02, 0.000000000E+00, 1.751861959E-07, 8.296770173E-11, 0.000000000E+00, 0.000000000E+00, 5.871061063E-02
        44, 8.148956243E-02, 0.000000000E+00, 8.148956243E-02, 0.000000000E+00, 1.756898970E-07, 8.319687155E-11, 0.000000000E+00, 0.000000000E+00, 6.036816322E-02
        45, 8.212623076E-02, 0.000000000E+00, 8.212623076E-02, 0.000000000E+00, 1.877784746E-07, 8.891285505E-11, 0.000000000E+00, 0.000000000E+00, 6.215514154E-02
        46, 8.276289903E-02, 0.000000000E+00, 8.276289903E-02, 0.000000000E+00, 1.928152393E-07, 9.128983318E-11, 0.000000000E+00, 0.000000000E+00, 6.397168300E-02
        47, 8.339956725E-02, 0.000000000E+00, 8.339956725E-02, 0.000000000E+00, 1.956746258E-07, 9.263761128E-11, 0.000000000E+00, 0.000000000E+00, 6.584311121E-02
        48, 8.403623546E-02, 0.000000000E+00, 8.403623546E-02, 0.000000000E+00, 1.991794921E-07, 9.429203278E-11, 0.000000000E+00, 0.000000000E+00, 6.771614196E-02
        49, 8.467290364E-02, 0.000000000E+00, 8.467290364E-02, 0.000000000E+00, 2.109364100E-07, 9.984853365E-11, 0.000000000E+00, 0.000000000E+00, 6.964832402E-02
        50, 8.530957181E-02, 0.000000000E+00, 8.530957181E-02, 0.000000000E+00, 2.214489281E-07, 1.048154458E-10, 0.000000000E+00, 0.000000000E+00, 7.169987554E-02
        51, 8.594623997E-02, 0.000000000E+00, 8.594623997E-02, 0.000000000E+00, 2.285386785E-07, 1.081653313E-10, 0.000000000E+00, 0.000000000E+00, 7.380555203E-02
        52, 8.658290813E-02, 0.000000000E+00, 8.658290813E-02, 0.000000000E+00, 2.344605259E-07, 1.109625084E-10, 0.000000000E+00, 0.000000000E+00, 7.592868704E-02
        53, 8.721957628E-02, 0.000000000E+00, 8.721957628E-02, 0.000000000E+00, 2.357661492E-07, 1.115748484E-10, 0.000000000E+00, 0.000000000E+00, 7.809790841E-02
        54, 8.785624443E-02, 0.000000000E+00, 8.785624443E-02, 0.000000000E+00, 2.406328271E-07, 1.138726741E-10, 0.000000000E+00, 0.000000000E+00, 8.031748495E-02
        55, 8.849291258E-02, 0.000000000E+00, 8.849291258E-02, 0.000000000E+00, 2.555289758E-07, 1.209135791E-10, 0.000000000E+00, 0.000000000E+00, 8.257495920E-02
        56, 8.912958073E-02, 0.000000000E+00, 8.912958073E-02, 0.000000000E+00, 2.611851236E-07, 1.235819824E-10, 0.000000000E+00, 0.000000000E+00, 8.491363476E-02
        57, 8.976624887E-02, 0.000000000E+00, 8.976624887E-02, 0.000000000E+00, 2.628165191E-07, 1.243484260E-10, 0.000000000E+00, 0.000000000E+00, 8.730504932E-02
        58, 9.040291702E-02, 0.000000000E+00, 9.040291702E-02, 0.000000000E+00, 2.806013260E-07, 1.327540916E-10, 0.000000000E+00, 0.000000000E+00, 8.973492317E-02
        59, 9.103958517E-02, 0.000000000E+00, 9.103958517E-02, 0.000000000E+00, 2.908557321E-07, 1.375971900E-10, 0.000000000E+00, 0.000000000E+00, 9.221721626E-02
        60, 9.167625331E-02, 0.000000000E+00, 9.167625331E-02, 0.000000000E+00, 2.857104452E-07, 1.351572272E-10, 0.000000000E+00, 0.000000000E+00, 9.467155358E-02
        61, 9.231292146E-02, 0.000000000E+00, 9.231292146E-02, 0.000000000E+00, 2.787117490E-07, 1.318389796E-10, 0.000000000E+00, 0.000000000E+00, 9.716501358E-02
