iteration,iteration,mode,target,x,y,best_target
14,14,bayesian_optimization,-0.0010778079807096316,0.032744533851244345,0.023671678382287988,-0.0010778079807096316
19,19,bayesian_optimization,-0.00293960283216222,-0.02912039895151664,-0.4573407041874502,-0.0010778079807096316
18,18,bayesian_optimization,-0.004639059867180239,-0.04008557181034368,0.5506547738663508,-0.0010778079807096316
15,15,bayesian_optimization,-0.028923879080998274,-0.16891079454293562,-0.19824796792715513,-0.0010778079807096316
17,17,bayesian_optimization,-0.029186891333481995,0.020989436797714728,-1.6954744137378404,-0.0010778079807096316
16,16,bayesian_optimization,-0.0398353021176902,0.056262088709258286,1.9149381058342787,-0.0010778079807096316
10,10,sampling_parameters,-0.20481647286120153,-0.37621922977268696,2.5154634565114975,-0.20481647286120153
5,5,sampling_parameters,-0.21805013295765463,-0.3731657639145851,-2.8070882707834244,-0.21805013295765463
0,0,default_coefficient,-0.29,-0.5,2.0,-0.29
9,9,sampling_parameters,-0.2906843792855934,-0.5007112342864275,-1.9993158616125584,-0.21805013295765463
2,2,sampling_parameters,-0.30485882295698463,-0.04231029376387596,5.505167227238417,-0.29
8,8,sampling_parameters,-0.580684296154848,0.2580564208328724,7.170015200972557,-0.21805013295765463
6,6,sampling_parameters,-0.6041245820828811,-0.749613843858242,2.0543531142175198,-0.21805013295765463
3,3,sampling_parameters,-0.61727587204223,0.7849993836134672,-0.32432079315185547,-0.29
7,7,sampling_parameters,-0.7151682705009224,0.4913302380591631,-6.883043423295021,-0.21805013295765463
4,4,sampling_parameters,-0.962418951136663,0.6158243585377932,7.63661777600646,-0.29
12,12,bayesian_optimization,-0.9857016969365279,0.06830461580104874,-9.904727035091875,-0.20481647286120153
11,11,bayesian_optimization,-1.0232058027092876,-0.18709864675523358,9.940824407923358,-0.20481647286120153
13,13,bayesian_optimization,-1.2293645203458232,-0.60551864450593,9.288227449311975,-0.20481647286120153
1,1,sampling_parameters,-1.8378183451452874,-0.9168340675532818,-9.986158609390259,-0.29
